ℹ️ [19:11:56] ════════════════════════════════════════════════════════════
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
⏳ [19:11:58] ⏳ Tentativa 157/1000 (26 min decorridos)
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
⏳ [19:11:58] ⏳ Tentativa 169/1000 (28 min decorridos)
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
⏳ [19:11:58] ⏳ Tentativa 181/1000 (30 min decorridos)
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
⏳ [19:11:58] ⏳ Tentativa 193/1000 (32 min decorridos)
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
⏳ [19:11:58] ⏳ Tentativa 205/1000 (34 min decorridos)
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
⏳ [19:11:59] ⏳ Tentativa 217/1000 (36 min decorridos)
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
